Country,year,Gross national income per capital,Maternal mortality ratio (per 100 000 live births),Births attended by skilled health personnel (%),Maternal mortality ratio lower_bound,Maternal mortality ratio upper_bound
Algeria,2013.0,12990.0,NA,96.6,NA,NA
Australia,2013.0,42540.0,NA,99.3,NA,NA
Botswana,2013.0,15500.0,NA,99.9,NA,NA
Brazil,2013.0,14750.0,NA,99.1,NA,NA
Cabo Verde,2013.0,6220.0,NA,92.3,NA,NA
Chile,2013.0,21030.0,NA,99.8,NA,NA
Colombia,2013.0,11890.0,NA,98.7,NA,NA
Cyprus,2013.0,28830.0,NA,99.9,NA,NA
Czech Republic,2013.0,25530.0,NA,99.8,NA,NA
Fiji,2013.0,7610.0,NA,98.8,NA,NA
France,2013.0,37580.0,NA,98.3,NA,NA
Gambia,2013.0,1620.0,NA,57.2,NA,NA
India,2013.0,5350.0,NA,74.4,NA,NA
Indonesia,2013.0,9260.0,NA,87.4,NA,NA
Italy,2013.0,34100.0,NA,99.9,NA,NA
Liberia,2013.0,790.0,NA,61.1,NA,NA
Madagascar,2013.0,1350.0,NA,44.3,NA,NA
Mali,2013.0,1540.0,NA,57.1,NA,NA
Malta,2013.0,28030.0,NA,99.9,NA,NA
Mongolia,2013.0,8810.0,NA,98.9,NA,NA
Montenegro,2013.0,14600.0,NA,99.0,NA,NA
Namibia,2013.0,9590.0,NA,88.2,NA,NA
Nigeria,2013.0,5360.0,NA,35.2,NA,NA
Pakistan,2013.0,4920.0,NA,52.1,NA,NA
Panama,2013.0,19290.0,NA,91.4,NA,NA
Papua New Guinea,2013.0,2430.0,NA,43.0,NA,NA
Paraguay,2013.0,7640.0,NA,95.7,NA,NA
Philippines,2013.0,7820.0,NA,72.8,NA,NA
Saudi Arabia,2013.0,53780.0,NA,98.0,NA,NA
Sierra Leone,2013.0,1750.0,NA,59.7,NA,NA
Uruguay,2013.0,18930.0,NA,98.2,NA,NA
Vanuatu,2013.0,2840.0,NA,89.4,NA,NA
Yemen,2013.0,3820.0,NA,43.0,NA,NA
Barbados,2012.0,15080.0,NA,98.9,NA,NA
Belarus,2012.0,16800.0,NA,100.0,NA,NA
Bhutan,2012.0,6960.0,NA,74.6,NA,NA
Bolivia (Plurinational State of),2012.0,5400.0,NA,85.1,NA,NA
Cote d'Ivoire,2012.0,2680.0,NA,56.4,NA,NA
Comoros,2012.0,1520.0,NA,82.2,NA,NA
Denmark,2012.0,43200.0,NA,98.2,NA,NA
Gabon,2012.0,16490.0,NA,89.3,NA,NA
Guinea,2012.0,1140.0,NA,45.3,NA,NA
Haiti,2012.0,1640.0,NA,37.3,NA,NA
Honduras,2012.0,4190.0,NA,82.8,NA,NA
Jordan,2012.0,11390.0,NA,99.6,NA,NA
Lao People's Democratic Republic,2012.0,4170.0,NA,40.1,NA,NA
Maldives,2012.0,9310.0,NA,95.5,NA,NA
Nicaragua,2012.0,4240.0,NA,88.0,NA,NA
Niger,2012.0,880.0,NA,29.3,NA,NA
Qatar,2012.0,121750.0,NA,100.0,NA,NA
Republic of Korea,2012.0,32150.0,NA,99.8,NA,NA
Republic of Moldova,2012.0,4710.0,NA,99.2,NA,NA
Saint Lucia,2012.0,10260.0,NA,98.7,NA,NA
Seychelles,2012.0,22220.0,NA,99.0,NA,NA
Slovenia,2012.0,27610.0,NA,99.8,NA,NA
Tajikistan,2012.0,2340.0,NA,87.4,NA,NA
Thailand,2012.0,13420.0,NA,99.6,NA,NA
Tonga,2012.0,5370.0,NA,95.5,NA,NA
Tunisia,2012.0,10470.0,NA,73.6,NA,NA
Ukraine,2012.0,8670.0,NA,99.0,NA,NA
Azerbaijan,2011.0,14590.0,NA,97.2,NA,NA
Belize,2011.0,7940.0,NA,95.1,NA,NA
Canada,2011.0,40570.0,NA,98.4,NA,NA
Equatorial Guinea,2011.0,27630.0,NA,68.3,NA,NA
Iraq,2011.0,13620.0,NA,90.9,NA,NA
Jamaica,2011.0,8170.0,NA,98.6,NA,NA
Kazakhstan,2011.0,17710.0,NA,99.5,NA,NA
Marshall Islands,2011.0,4260.0,NA,90.1,NA,NA
Mauritania,2011.0,2610.0,NA,65.1,NA,NA
Morocco,2011.0,6490.0,NA,73.6,NA,NA
Mozambique,2011.0,910.0,NA,54.3,NA,NA
Uganda,2011.0,1310.0,NA,58.0,NA,NA
Armenia,2010.0,6620.0,NA,99.5,NA,NA
Burkina Faso,2010.0,1390.0,NA,65.9,NA,NA
Burundi,2010.0,710.0,NA,60.3,NA,NA
Central African Republic,2010.0,880.0,NA,40.0,NA,NA
Eritrea,2010.0,1050.0,NA,34.1,NA,NA
Hungary,2010.0,20140.0,NA,99.1,NA,NA
South Sudan,2010.0,2600.0,NA,17.2,NA,NA
Sudan,2010.0,2970.0,NA,19.9,NA,NA
Suriname,2010.0,13730.0,NA,90.0,NA,NA
Timor-Leste,2010.0,6320.0,NA,29.3,NA,NA
United Arab Emirates,2010.0,56260.0,NA,100.0,NA,NA
United Republic of Tanzania,2010.0,1500.0,NA,48.9,NA,NA
Albania,2009.0,9370.0,NA,99.3,NA,NA
Kiribati,2009.0,2430.0,NA,79.8,NA,NA
Luxembourg,2009.0,52190.0,NA,99.9,NA,NA
Micronesia (Federated States of),2009.0,3330.0,NA,100.0,NA,NA
Romania,2008.0,15280.0,NA,98.7,NA,NA
Russian Federation,2008.0,19710.0,NA,99.6,NA,NA
Slovakia,2008.0,22840.0,NA,99.5,NA,NA
South Africa,2008.0,10960.0,NA,94.3,NA,NA
Angola,2007.0,5320.0,NA,46.7,NA,NA
Solomon Islands,2007.0,1520.0,NA,85.5,NA,NA
Sri Lanka,2007.0,6140.0,NA,98.6,NA,NA
Tuvalu,2007.0,5430.0,NA,93.1,NA,NA
Lithuania,2006.0,16430.0,NA,100.0,NA,NA
Turkmenistan,2006.0,6370.0,NA,99.5,NA,NA
Uzbekistan,2006.0,2950.0,NA,99.6,NA,NA
Lebanon,2004.0,10250.0,NA,98.2,NA,NA
Albania,2e3,4370.0,[33-56],NA,33.0,56.0
Algeria,2e3,7460.0,[118-241],NA,118.0,241.0
Angola,2e3,2190.0,[472-1730],NA,472.0,1730.0
Armenia,2e3,2380.0,[35-46],NA,35.0,46.0
Australia,2e3,25580.0,[8-10],NA,8.0,10.0
Austria,2e3,28450.0,[4-6],NA,4.0,6.0
Azerbaijan,2e3,3350.0,[42-55],NA,42.0,55.0
Bahamas,2e3,20020.0,[50-74],NA,50.0,74.0
Bahrain,2e3,34880.0,[18-26],NA,18.0,26.0
Bangladesh,2e3,1140.0,[322-496],NA,322.0,496.0
Barbados,2e3,11320.0,[38-58],NA,38.0,58.0
Belarus,2e3,5770.0,[22-31],NA,22.0,31.0
Belgium,2e3,28310.0,[8-11],NA,8.0,11.0
Belize,2e3,6160.0,[45-62],NA,45.0,62.0
Benin,2e3,1200.0,[448-732],NA,448.0,732.0
Bhutan,2e3,2860.0,[328-538],NA,328.0,538.0
Bolivia (Plurinational State of),2e3,3340.0,[272-416],NA,272.0,416.0
Bosnia and Herzegovina,2e3,4840.0,[12-24],NA,12.0,24.0
Botswana,2e3,7620.0,[261-361],NA,261.0,361.0
Brazil,2e3,8500.0,[64-67],NA,64.0,67.0
Brunei Darussalam,2e3,59100.0,[25-39],NA,25.0,39.0
Bulgaria,2e3,6080.0,[18-25],NA,18.0,25.0
Burkina Faso,2e3,840.0,[432-686],NA,432.0,686.0
Burundi,2e3,580.0,[682-1310],NA,682.0,1310.0
Cote d'Ivoire,2e3,2160.0,[522-856],NA,522.0,856.0
Cabo Verde,2e3,2910.0,[45-162],NA,45.0,162.0
Cambodia,2e3,1050.0,[396-596],NA,396.0,596.0
